geoid,lon,lat
12027,-81.809388,27.186361
12029,-83.158801,29.608191
12031,-81.670839,30.331573
12033,-87.362782,30.668926
12035,-81.313556,29.461438
12037,-84.813902,29.876384
12039,-84.613625,30.579478
12041,-82.800385,29.725833
12043,-81.188996,26.956467
12045,-85.226593,29.955534
12047,-82.947934,30.496390
12049,-81.809936,27.492696
12051,-81.165849,26.553483
12053,-82.425034,28.553633
12055,-81.341043,27.343324
12057,-82.309291,27.929086
12059,-85.814018,30.867921
12061,-80.606263,27.694299
12063,-85.215494,30.795430
12065,-83.895292,30.437504
12067,-83.181090,29.985499
12069,-81.711255,28.761554
12071,-81.833740,26.577782
12073,-84.277905,30.458040
12075,-82.743578,29.318264
12077,-84.882896,30.241316
12079,-83.470124,30.444122
12081,-82.315310,27.471907
12083,-82.056660,29.210208
12085,-80.431477,27.077525
12086,-80.562288,25.614958
12087,-81.110631,25.315638
12089,-81.801619,30.610595
12091,-86.591755,30.691292
12093,-80.888635,27.386418
12095,-81.323523,28.514429
12097,-81.149463,28.062680
12099,-80.465478,26.647602
12101,-82.393213,28.309092
12103,-82.725598,27.919608
12105,-81.697624,27.948860
12107,-81.744304,29.608656
12109,-81.440668,29.901649
12111,-80.472026,27.377257
12113,-87.021977,30.700442
12115,-82.331504,27.184467
12117,-81.236300,28.716976
12119,-82.080968,28.704735
12121,-82.991497,30.195609
12123,-83.603526,30.047014
12125,-82.371433,30.043855
12127,-81.181924,29.058417
12129,-84.400662,30.167324
12131,-86.169688,30.643582
12133,-85.665323,30.610591
13001,-82.288891,31.749224
13003,-82.880070,31.297161
13005,-82.452699,31.553680
13007,-84.444715,31.326145
13009,-83.249555,33.069266
13011,-83.497362,34.354147
13013,-83.712732,33.993190
13015,-84.840492,34.237860
13017,-83.220506,31.759791
13019,-83.229638,31.275953
13021,-83.697408,32.806499
13023,-83.327852,32.434428
13025,-81.981908,31.196876
13027,-83.580192,30.841985
13029,-81.443637,32.014471
13031,-81.743185,32.396807
13033,-82.000901,33.061082
13035,-83.957175,33.287884
13037,-84.624533,31.529222
13039,-81.669983,30.930568
13043,-82.073662,32.403441
13045,-85.079770,33.582785
13047,-85.138248,34.903628
13049,-82.137936,30.781724
13051,-81.132835,32.004216
13053,-84.787025,32.346986
13055,-85.345341,34.475000
13057,-84.476211,34.243938
13059,-83.367335,33.951175
13061,-84.980090,31.626234
13063,-84.357643,33.541887
13065,-82.706250,30.914995
13067,-84.576679,33.941462
13069,-82.849162,31.549318
13071,-83.768804,31.188374
13073,-82.264050,33.544120
13075,-83.430463,31.153994
13077,-84.763353,33.353464
13079,-83.986339,32.714504
13081,-83.768065,31.922927
13083,-85.504517,34.854554
13085,-84.170615,34.444291
13087,-84.579055,30.878358
13089,-84.226420,33.771528
13091,-83.168397,32.172207
13093,-83.798768,32.157201
13095,-84.216367,31.533458
13097,-84.767960,33.701842
13099,-84.903654,31.322831
13101,-82.893961,30.710050
13103,-81.341354,32.367285
13105,-82.840142,34.116792
13107,-82.301713,32.589744
13109,-81.886880,32.156759
13111,-84.319834,34.864084
13113,-84.494181,33.413951
13115,-85.214256,34.263191
13117,-84.125020,34.225544
13119,-83.229148,34.375466
13121,-84.466998,33.790272
13123,-84.455618,34.691163
13125,-82.610700,33.229282
13127,-81.540717,31.230898
13129,-84.875703,34.503356
13131,-84.234442,30.874664
13133,-83.166671,33.578830
13135,-84.023615,33.961731
13137,-83.531108,34.631030
13139,-83.819670,34.316899
13141,-83.000672,33.270450
13143,-85.211019,33.794218
13145,-84.908892,32.736040
13147,-82.964215,34.350838
13149,-85.128336,33.297039
13151,-84.154202,33.452993
13153,-83.666226,32.459011
13155,-83.276354,31.602214
13157,-83.566362,34.133885
13159,-83.687971,33.316538
13161,-82.636826,31.805611
13163,-82.418162,33.054875
13165,-81.963549,32.792447
13167,-82.660080,32.701461
13169,-83.560495,33.025126
13171,-84.139471,33.076536
13173,-83.062746,31.037860
13175,-82.922233,32.463652
13177,-84.141136,31.779534
13179,-81.494731,31.828091
13181,-82.451153,33.793645
13183,-81.745696,31.752554
13185,-83.267730,30.833814
13187,-84.002664,34.572194
13189,-82.481373,33.482860
13191,-81.408470,31.496659
13193,-84.042491,32.358391
13195,-83.209030,34.127791
13197,-84.524663,32.353398
13199,-84.688311,33.040664
13201,-84.730796,31.164008
13205,-84.194275,31.225320
13207,-83.918658,33.013919
13209,-82.534774,32.173394
13211,-83.492272,33.590920
13213,-84.748072,34.788432
13215,-84.877056,32.510028
13217,-83.850189,33.555037
13219,-83.437102,33.834964
13221,-83.080712,33.880668
13223,-84.867296,33.920534
13225,-83.826885,32.568763
13227,-84.465563,34.464332
13229,-82.212763,31.358771
13231,-84.389260,33.092283
13233,-85.188143,34.001791
13235,-83.475953,32.232265
13237,-83.372794,33.321767
13239,-85.018770,31.867347
13241,-83.402073,34.881735
13243,-84.754201,31.762650
13245,-82.073507,33.359598
13247,-84.026595,33.654250
13249,-84.314757,32.261663
13251,-81.611942,32.750605
13253,-84.868849,30.938779
13255,-84.284096,33.260878
13257,-83.293466,34.553959
13259,-84.835217,32.078490
13261,-84.196988,32.039942
13263,-84.533009,32.699499
13265,-82.878764,33.566137
13267,-82.058128,32.045799
13269,-84.250467,32.555478
13271,-82.939015,31.929805
13273,-84.436972,31.777004
13275,-83.919318,30.863757
13277,-83.526601,31.457429
13279,-82.331216,32.121612
13281,-83.737299,34.916637
13283,-82.567285,32.403875
13285,-85.028365,33.033540
13287,-83.624083,31.716381
13289,-83.427076,32.667199
13291,-83.990754,34.834087
13293,-84.299350,32.881274
13295,-85.300990,34.735645
13297,-83.733870,33.781557
13299,-82.423718,31.053789
13301,-82.676755,33.408950
13303,-82.795911,32.969537
13305,-81.916726,31.551447
13307,-84.551045,32.046657
13309,-82.724581,32.117051
13311,-83.747110,34.646381
13313,-84.967208,34.805611
13315,-83.432343,31.972900
13317,-82.743202,33.781948
13319,-83.171238,32.802382
13321,-83.850885,31.551510
16001,-116.241102,43.451158
16003,-116.453797,44.889663
16005,-112.224637,42.668518
16007,-111.329610,42.284767
16009,-116.658784,47.217577
16011,-112.398078,43.216522
16013,-113.980351,43.412327
16015,-115.730245,43.989149
16017,-116.600985,48.299770
16019,-111.614875,43.387723
16021,-116.462843,48.767001
16023,-113.172023,43.722877
16025,-114.805880,43.463261
16027,-116.709321,43.625157
16029,-111.562295,42.770521
16031,-113.600363,42.283875
16033,-112.351410,44.283979
16035,-115.656321,46.673621
16037,-114.281788,44.241418
16039,-115.469222,43.353911
16041,-111.813223,42.181235
16043,-111.482002,44.228858
16045,-116.397137,44.061730
16047,-114.811559,42.970917
16049,-115.467475,45.844045
16051,-112.311232,43.820125
16053,-114.264062,42.689897
16055,-116.700006,47.674536
16057,-116.711647,46.816157
16059,-113.933296,44.943311
16061,-116.426254,46.237027
16063,-114.138304,43.002420
16065,-111.659350,43.784201
16067,-113.637546,42.854324
16069,-116.750237,46.326731
16071,-112.539611,42.194879
16073,-116.169956,42.581529
16075,-116.760857,44.006738
16077,-112.840642,42.693655
16079,-115.891114,47.351713
16081,-111.207675,43.759434
16083,-114.667132,42.355961
16085,-115.566161,44.766690
16087,-116.784737,44.452417
17001,-91.188532,39.987861
17003,-89.337561,37.191518
17005,-89.435554,38.886832
17007,-88.823366,42.323078
17009,-90.750350,39.961823
17011,-89.528673,41.404144
17013,-90.667531,39.169243
17015,-89.934391,42.068688
17017,-90.247414,39.973565
17019,-88.199200,40.140092
17021,-89.277274,39.545800
17023,-87.787680,39.333600
17025,-88.490161,38.754151
17027,-89.422491,38.606441
17029,-88.221796,39.520275
17031,-87.816708,41.840031
17033,-87.759635,39.002725
17035,-88.240221,39.273306
17037,-88.770311,41.893534
17039,-88.904082,40.174612
17041,-88.217374,39.769458
17043,-88.085632,41.851946
17045,-87.745586,39.678563
17047,-88.053276,38.416539
17049,-88.589869,39.059785
17051,-89.024133,39.000188
17053,-88.223268,40.597192
17055,-88.924145,37.992281
17057,-90.207470,40.472756
17059,-88.230544,37.762703
17061,-90.390463,39.356214
17063,-88.418486,41.285105
17065,-88.539115,38.081571
17067,-91.164734,40.403743
17069,-88.266879,37.518210
17071,-90.925108,40.818025
17073,-90.131399,41.353135
17075,-87.824353,40.747242
17077,-89.382128,37.785143
17079,-88.153826,39.010015
17081,-88.923989,38.300528
17083,-90.356684,39.085683
17085,-90.212499,42.365755
17087,-88.880926,37.459629
17089,-88.428641,41.938883
17091,-87.861825,41.137709
17093,-88.428835,41.590538
17095,-90.213268,40.931800
17097,-88.003625,42.323370
17099,-88.885956,41.343986
17101,-87.726739,38.719979
17103,-89.300380,41.746193
17105,-88.557718,40.891568
17107,-89.367543,40.124561
17109,-90.677910,40.456195
17111,-88.452359,42.324451
17113,-88.847339,40.490876
17115,-88.961606,39.859982
17117,-89.924431,39.261007
17119,-89.905132,38.829870
17121,-88.918980,38.649593
17123,-89.344755,41.033164
17125,-89.916774,40.239653
17127,-88.707722,37.218970
17129,-89.802189,40.027391
17131,-90.741448,41.205335
17133,-90.177377,38.278546
17135,-89.478883,39.231035
17137,-90.201477,39.715561
17139,-88.619304,39.641415
17141,-89.320655,42.042643
17143,-89.759979,40.788057
17145,-89.366980,38.083770
17147,-88.591100,40.010356
17149,-90.886283,39.622495
17151,-88.561524,37.412694
17153,-89.126582,37.222883
17155,-89.285842,41.204461
17157,-89.825322,38.052133
17159,-88.085097,38.712373
17161,-90.567353,41.467301
17163,-89.928391,38.470298
17165,-88.540800,37.753195
17167,-89.658877,39.758166
17169,-90.615081,40.158028
17171,-90.474698,39.644120
17173,-88.805594,39.391122
17175,-89.797512,41.093325
17177,-89.662363,42.351716
17179,-89.513425,40.507524
17181,-89.255113,37.471231
17183,-87.732839,40.183440
17185,-87.844503,38.446027
17187,-90.615005,40.848815
17189,-89.410448,38.352163
